,beer,score,style,abv,rating,cleaned_review
1686,Trappistes Rochefort 10,100,Quadrupel (Quad),11.3%,4.94,Hazy dark reddish mahogany with a massive tan head that persists and produces lots of nice lacing. 
1687,Samuel Adams Utopias,100,Strong Ale - American,28%,4.89,"This was an awesome experience, Finding the unicorn and then getting to taste it made my New Years Day extra special. I never thought that I would ever have this and then i did, The flavor is rich and delicious. I tasted a hint of fruit/caramel maybe, definitely decadent. This has made it's way to the #1 all time spot on my list. I don't believe anything will ever come close."
1688,Fyodor,99,Stout - Russian Imperial,13.1%,3.6,"L: Dark Black except where light fringes the glass for a chocolate brown, a third finger dark mocha head with little retention or lacing. S: This is a boozy bourbon punch in the nose even after 9 months bottle aging. The smell is not a delectable bourbon, rather it smells like Everclear 190 proof with some vanilla for good measure. I definitely don't get anise haha or any finer thing like that. T: Anyone who says anise in my view is copying the notes. This is booze and far from beer finery. I don't get bourbon heat, instead the taste of vodka, with the smallest amounts of oak, vanilla, and chocolate in descending measure. F: The mouthfeel is light-medium and astringent, not thick as described, but decent enough to pass for a lighter BA stout."
1689,Gueuze 100% Lambic,99,Lambic - Gueuze,5%,4.25,"375ml bottled 2 March 2015 A: Tangerine shade in appearance with an amber hue, and golden highlights. The head is light in formation, and quick to fade in retention, with middling legs on presently aged/submissive carbonation S: A motivated aroma by raw garden funk in cellared pears, citrus limetta, perished apricots, and stained yellow peaches that are backed by a musty cobwebbed satchel before the lactic saddlecloth. The backing in barnyard continues on vinous white grape, crisp apple skins, and blemished basement gooseberries. A nicely seasoned aroma that offers tart floral esters to a crisped oak breadiness in malt profiling T: Wild strains of bacterial gardens on palate, where traction is played underneath rustic, untamed hay and wooded pine saloons. A vintage that steers to earth bound grains while building on dusted, tannic mahogany in oak-aged vinegar. The advances in development are indicative to herbed gorgonzola, and spoiled (tart) lemon curd, which begin to soften in peppery resin and open to a rosy powdery mildew M: The feel has calmed a bit on bright effervesce for a more dry potency, given eased acidity and smooth viscosity in time/aeration. A body that baits importance across apt carbonation, and leans on ashy citrus as it approaches a more disciplined dry ending O: The longevity offers balance, and appropriate timing, in offbeat (fragile) complexities"
1690,Speedway Stout - Vietnamese Coffee,100,Stout - American Imperial,12%,4.35,"L:. Pours a pitch black with a very small brown tan head and a some dots of lacing around the glass. S:. Creamy rich chocolate, a bit of vanilla, some coffee reminiscent of mocha or coffee ice cream. Smells very rich and decadent. T:. Creamy rich chocolate, some vanilla, mixes with a mocha like coffee and a coffee ice cream, not overly sweet but very nice. F:. Thick full body, some cola like carbonation but mostly creamy. O:. This is a fantastic stout!"
1691,Smooth,99,Wild Ale,6%,4.5,"Damn this is ridiculously good. It was bursting with stone fruit and the as usual the carb was perfect. I will say after having it side by side with fuzzy, that the stone fruit doesn't pop like the peaches in Fuzzy, but still amazing."
1692,Art,99,Farmhouse Ale - Saison,6.5%,4.14,"Batch 4 (thanks Mike!) served in a HF tulip. Pours a burnished orange hue with a frothy, off-white head that dissipates into a bubbly band around the edges. Nose expresses vinous notes, a hint of vanilla and a trace of apple cider vinegar. Taste consistent with nose; however, the flavor profile comes off a bit watered down. There's also the addition of lemon peel. Mouthfeel is light in body with a soft carbonation and a mild acidity. Overall, quite tasty but not sure it lives up to the hype."
1693,Thicket,99,Wild Ale,6%,4.78,"Incredible beer. Thanks to @jdhowe for the share. Beautiful purplish hue with strong blackberry aroma. Very sour, but not too acidic. A little funk, but probably more on the nose. Delicious beer."
1694,Temptation,99,Wild Ale,7.5%,4.28,"2015 Bottle, taster flight at Wades Wines in Westlake, CA. Pours a light hazy gold, very much like a grisette in appearance. Thin creamy head, medium lace. Mild aromas, getting hints of lemon to square out the funky yeast smells that punch through. Getting Brett-like qualities. Very tart, full of white grape must and apple. A nice mineral quality, and if it weren’t for the funk and sharp tartness this has a lot of qualities of a Chardonnay. Seltzery, crisp, thin body. Sharp, but not unpleasant."
1695,Westly,100,Wild Ale,8.5%,4.66,"07/2016 - This is incredible - hype realized! Gueuze-esque; peach, apricot, funk on the nose; wee cinnamon, fruity, barnyard taking over the palate; acidic, yet still oh so clean of a finish; dope!"
1696,DFPF,99,Sour - Berliner Weisse,3.5%,4.53,The most beautiful purple pink I have ever seen. It looks like juice. Sparking with color. Rhubarb hue to it. Wow. So much fruit juice. It's so tropical. Nice tartness. Very faint funk. Light bodied. Ends clean. Refreshing. Everything I want in a Berliner. This stuff is the real deal.
1697,Ground State,99,Stout - American Imperial,13.4%,4.59,"2018 edition courtesy of Lingenbrau Pour is black, somewhat viscous, moderate tan head.  Smells like bourbon soaked cocoa nibs with oak and vanilla. A touch boozy. Some maple syrup/caramized sugars and burnt coffee grounds in the background.  Maple flavor strikes first. Not overpowering, but prominent. The bourbon follows with oak, vanilla, and corn mash, rounded out by rich milk chocolate and a subtle roasted coffee.  Every one of their beers I have had has been in the Bourbon County, Firestone Walker category as far as body goes. This one is a touch thinner, but still exceptionally full and luscious without being syrupy (especially with syrup) or cloying. Just a touch of lip smacking stickiness.  It definitely shows some of the ABV both in aroma and taste, especially if you were to compare to a Bourbon County varient that is stronger, but a phenomenal beer that pretty much lives up to the label."
1698,Beyond Good And Evil,100,Stout - American Imperial,10%,4.5,"Bottle: Poured a pitch-black color stout with a large dark brown foamy head with good retention and good lacing. Aroma of intense notes of chocolate mix in with some maple syrup and bourbon with vanilla notes also noticeable. Taste is also a mix of sweet chocolate notes, maple syrup with some woody notes, bourbon and vanilla notes also perceptible. Body is full with nice creamy texture and good carbonation with some light warming alcohol notes. World-class imperial stout from a great brewery."
1699,Heady Topper,100,IPA - New England,8%,4.02,"Pint can of Heady-Topper dated 06/05/21. Served in a can glass, because I want to. Pours slightly hazy and with a nice white head, though not quite as cloudy or murky as Focal Banger. Aroma is not the most potent, but it has a more traditional pine hop profile than I expected. Inhaling deeply I do get a bit of sweet juice. Flavor is big on those tropical juicy flavors. Guava, mango, grapefruit zest. Where Focal Banger has considerable IBUs and conventional alpha bitterness, Heady Topper has the strength and even a hint of the 8% ABV is actually present on the palate. But this is really only a comparative defect; compared to millions of other IPAs the alcohol is still very well hidden. Tasting this side by side with Focal Banger I appreciate the differences but confirm my initial impression from 4 years ago in Burlington -- I prefer FB. Both have an excellent mouthfeel, with very fine carbonation, which by itself might be remarkable for an American IPA in a can. But this beer is quite literally heady -- and I'm not one to shy away from heavy beers in the 8-12% range or even higher. But the balance and flavors in Focal Banger are just better in my opinion, even better than this unarguably great beer. Potentially this is Heady Topper's 15,000th review??"
1700,Saison Du Fermier,100,Farmhouse Ale - Saison,7%,3.91,"This smells like a belgian dubbel and tastes like mild american wild. While this is a very nice beer, im dramtically underwhelmed. This is something along the lines of homebrew competition winner"
1701,Speedway Stout - Bourbon Barrel-Aged,100,Stout - American Imperial,12%,4.8,2016 vintage poured into a snifter: Pours like coffee with moderate khaki head with some retention
1702,Gueuze 100% Lambic,99,Lambic - Gueuze,5%,3.76,"Sampled on draft at De Cam AROMA- mossy, lemon-pepper, hay, yogurt FLAVOR - big white grape, fresh herbs, light lemon, not that funky,  MF - long tannic finish, low carb, not harsh or grating"
1703,Cellarman Barrel Aged Saison,99,Farmhouse Ale - Saison,6.5%,4.24,"Split with Goblinmunkey7 on 8/19/17, review from notes A: Golden straw with a touch of orange, lightly hazy, pours with a fluffy, medium-sized white head, retains its fluffiness, leaves great streaks of lacing S: Funky, deep, complex - saison funk, yeast funk, barnyard funk - light tartness - lemon - flowery and floral - light grains, light sweetness - loads of wood, rich oak - layers of funk T: Bright saison funk and tartness - farmhouse weirdness including some damp cellar and straw - some brighter acidity and lemon - flowery - some pear, green apple - rich oak, chewy wood - light sweetness with some lingering funk M: Medium body, medium carbonation, crisp with lingering tart funk  O: Cellarman is the hero Gotham deserves Cellarman flirts with almost being too funky to be a saison, but it does not cross any lines (not that anyone is really too concerned). It's bright, it's tart, it's like drinking a barn."
1704,Fort Point Pale Ale - Mosaic Dry Hopped,99,Pale Ale - American,6.6%,4.79,"Thank you to my friends at Carmine Street Tap Room. I will always patronize an establishment that just does't sell beer, they love it. There is something pleasant about balancing the undeniable greatness of bitterness. This is something that Trillium might do better than any other brewer. Bitter is the quintessential taste that complexity finds in mastery. Well done. L: Thick like honey appearance"
1705,Haze,100,IPA - New England,8.2%,4.62,"Review 1528 I am stoked to consume this beer! Thank you WunderLlama for giving me this beer. The beer is 44 degrees and served in a nonic. The pour of the beer created a magnificent three-fingered head. The bright white foamy and creamy head left lacing on the glass as it slowly dissipated. The color of the beer is SRM 3, pale straw with light golden colors. This beer is hazy. The appearance of the beer is exceptional.  The initial aromas in the beer are citrus, lemons, papaya, and pineapple. Nosing further, I detect toasted bread crust, oranges, floral esters, a hint of herbal, and a malty sweetness.  The flavors in the beer are orange, lemon, papaya, pineapple mango, bready, floral esters, a hint of phenols, a dash of herbal, and a subtle earthiness.  The mouthfeel of the beer is astringent and dry.  The body of the beer is medium, medium carbonation, and a full finish A beautifully constructed beer. The flavors and the balance of the beer are on point. This is what a NEIPA should taste like. Excellent beer. I wish I had more."
1706,Dinner,100,IPA - Imperial,8.2%,4.75,"Poured opaque but not murky, golden honey in color with soft billowing head of vanilla white foam which left lacing all the way down the glass."
1707,Apple Brandy Barrel Noir,99,Stout - American Imperial,12%,4.43,"Pours dark black with a small beige head that fades quickly. The aroma has apple brandy, dark chocolate, cocoa, and dark roasted malt. Tastes like it smells. Sweet taste. Not much of th dark roasted malt comes through, so there is no balancing bitterness. Full bodied with moderate carbonation. A very drinkable beer. I love the Apple Brandy barrel. It is a nice change of pace."
1708,Scaled Way Up,100,IPA - New England,8%,4.2,"Pours out super hazed pineapple juice like color, thin bright white head recedes quickly, minimal to no lacing. Pretty punchy aromas of grapefruit, lemon, and mango, some pithy and dank green notes as well. On palate is acidic grapefruit and orange juice, pine needles, harsh and almost chalky green herbal quality, hop burn, no real malt to speak of. Mouthfeel is decent but suffers as a result of the chalky and harsh aspects of the flavor profile. Overall this was a decent beer, but not top notch. Had multiple cans and one was compared blind to TH C44 ... no contest at all."
1709,Miami Madness,100,Sour - Fruited Kettle Sour,5.5%,4.37,"really well done berliner type with tropical fruit. its one of the better fruity berliners i have had, and one of the best uses of these fruits i have seen in any beer, and while i loved it, im not sure it ranks among the best beers i have ever had overall, and wasnt even my favorite beer from j wakefield, although its probably still deserving of most of its hype! doesnt look like much, orange and hazy, quite thick for a beer so low in alcohol. the aroma is shocking, intensely sour, acidic, mouthwatering, puckery, all of it. with the passion fruit leading the charge, but the other fruits quite authentic and obvious in the aroma as well, juicy and intense, really different from other beers, more and more fresh. the flavor matches the aroma, with a real intense fruity complexion, passion fruit and orange and mango for sure, all really alive and bold in here, but never too sweet. thats the brilliance i think, keeping it dry. it doesnt feel light to me though, lots of body and texture, and even the high acidity doesnt lighten it up much. surprised its so clean too, gone but the palate begs for another gulp as soon as it is swallowed. this is not a style i usually flock to, especially with these fruits, where more often than not its gimmick over quality. this is awesomely delicious, a leader in its class no doubt!"
1710,Black Tuesday,100,Stout - American Imperial,19.5%,3.94,Received from @2beerdogs in NBS BIF 10 – Thanks Derek! Reviewed 2/16/20.
1711,Keene Idea,100,IPA - Imperial,8.88%,4.33,"16oz can, dated 08.05.19, poured into a 14oz snifter glass. Enjoyed on 08.25.19, reviewed from Tasting Journal. The beer pours a super hazy orange color, amber hues, super turbid with a foamy finger of white head that has minimal retention but decent lacing. The aroma is very nice, crazy dank and grassy, raw green hop leaf, hop spice, lots of piney resin and some herbal tea brings forward a more floral and citrusy character, tons of bitter grapefruit peel with a bit of underlying tropical fruit and soft pale dough. The flavors are in line with the nose, toeing the line between dank and juicy, grassy, raw green hop, light spice, resinous pine, pineapple, citrus peel, mango and peach with a bit of warming booze and soft dough. The mouthfeel is good, coating and thick with a heavier body that's lively and punchy and finishes with a warm and dry boozy finish.  Verdict: A super good IIPA from Alpine. It's big, it's intense, it's about as hoppy as one can get but that 8.88% ABV is definitely there. Definitely a top IPA from Alpine, who already have a great lineup of worthy beers."
1712,Westly,100,Wild Ale,8.5%,4.74,"Poured from a 750mL bottle into a Sante Adarius tulip glass. Drank right after tasting West Ashley Thanks Jake for the trade.  Pours a hazy light orange body, looks almost pulpy with a one finger white fizzy head that reduces quickly. Leaves little lacing.  On the nose, it’s very fruit-forward and champagne-like. Tons of stone fruit aromas, very juicy and potent. Psyched to taste this based on the nose! On the tongue, it’s very tart upfront but the fruit is delicate and balanced. Just enough apricot flavors. Very juicy and crisp, lightly funky, champagne, white wine flavors. Oak barrel flavors show up slightly on the follow through. Mouthfeel is spot on with refreshing, medium-high carbonation.  I’d say this lived up to the hype, it was smoother and more delicate, less sour and more fruity than West Ashley."
1713,Parabajava,100,Stout - Russian Imperial,14%,4.01,"this review comes with an asterisk, which is that i must have had a somewhat off experience with this one, in that there is no way the whole world loves this so much and i found it unremarkable. i have wanted to try this for a long long time and was so stoked to finally get the chance, but i suspect a distributor or an account or even the brewery held on to this keg for way too long, knowing they had something special here and wanting to save it for just the right moment. well, to me it tastes like that moment had long passed by the time this one was flowing, the coffee tastes and smells stale, and it has seemingly broken down some of the body that makes this base beer so monumental. what i can appreciate is what its supposed to be, a rich espresso layer over one of the most flavorful and interesting stouts to ever exist, an unnecessary but fancy layer, a little green peppery now, and a little acidic and thinning, but probably absurdly appealing in its prime. the alcohol is somehow really well hidden, maybe one benefit of its apparent age, cant believe its as strong as it is. some nice dark chocolate and char to this, still plenty of barrel on it too, faint vanilla and tobacco as well, lots happening but wonderful integration at the same time. i enjoyed this still a lot, impossible not to, but in this instance certainly not one of the best beers in the world. i know what it can be though, and i cant wait to try it under more idea conditions... until next time!"
1714,Ann,100,Farmhouse Ale - Saison,6.5%,4.63,"A: Pour is slightly cloudy, with a golden yellow hue. Head is about a half inch, with great retention and generous lacing S: Vinous grapes and apples, herbal, floral and fruity. The notes are extremely gentle and involved: oak, wood, lemon, citrus, honey, with a slight funk component T: Hints at a subtle tartness and sweetness, while being earthy floral, and fruity. More funk, brett and barrel character, as one reads into it and lets it sit. Notes correspond to the aroma, and bring forth honey, oak, grain/hay, lemon, and citrus M: Crisp yet soft, and smooth with timely dryness: medium carbonation, and body O: The duly maturation, amongst the French oak wine barrels, is quite beautiful. The convolutions linger, and grow as it rests"
1715,Darkstar November,99,Stout - Russian Imperial,14.76%,4.54,"2018 Vintage, enjoyed on election night 2020. Can't remember who sent me this but won in a NFL BIF from 2019. Poured bottled into snifter. Has a bit of sweetness, some spice, good amount of chocolate and a boozy finish"
1716,King Julius,100,IPA - New England,8.3%,4.5,"Pours a completely opaque bright orange color. Thick and juicy. Two to three finger off-white head forms on top of the beer before dissipating leaving a thin residual layer of foam on top of the beer.  Aroma has lovely bright notes of orange, citrus, pineapple, mango, tropical fruit, with a light green grassy hop note on the back end.  Taste follows the nose with robust notes of orange, citrus, pineapple, mango, tropical fruits, dried grassy hops on the back end with a pleasant but mild bitterness. There is some sweetness to the beer, but its not overwhelming.  Feel is medium to moderately full bodied. There is a real heftiness to the beer. Prickly carbonation.  Overall its a lovely, well crafted IPA."
1717,Maman,100,Stout - American Imperial,11.5%,4.23,"Look: Jet black, pours thick"
1718,Impermanence,99,Stout - Sweet / Milk,9%,4.63,"Bottle at share. WOW! Silky black pour, ring of brown head. Mellow aroma of chocolate and coffee. Taste brings some brown sugar sweetness, coffee, chocolate, perfectly blended, smooth. Light warmth."
1719,Sosus,99,IPA - Imperial,7.8%,4.01,Pours cloudy amber with a bunch of floaties drifting around inside. Aroma is hoppy citrus. Taste is hop bitter with some citrus notes. Feel is a bit astringent but not unpleasant. Overall it’s an interesting hoppy DIPA.
1720,Black Tuesday - Rum Barrel-Aged,99,Stout - American Imperial,18.9%,4.75,A: Poured into a snifter to a black beer topped by a finger of dense light tan head which fades quickly to a collar around the edge of the glass with minimal lacing
1721,King JJJuliusss,100,IPA - New England,8.4%,4.94,"So, finally trying this one was an achievement... did it live up to the hype? Oh yes, absolutely! Insanely great balanced, with hops, fruityness as well as a solid body. Extremely well balanced. Delicious!"
1722,Black Gold,100,Stout - American Imperial,11%,4.52,"Pours a deep black with more than head than expected, thicker than I remember last year Lots of nice barrel on both nose and taste. Very smooth and no heat. Love this one and will seek it out every year."
1723,Marshmallow Handjee,100,Stout - Russian Imperial,15%,4.59,"I am going to start off by saying I like this beer and would happily have it again, but the number 2 beer in the world? Not a chance! Shimmering jet black with a brown cap that fades into a ring. The nose is the star of the beer: huge vanilla and bourbon, toasty rustic oak, dark chocolate fudge, roasted malts, date, a hint of coffee, brown sugar and molasses. Taste really does well to accentuate the tannins in the wood with the bourbon and vanilla as the excavators, maltwork is robust and characteristic of the base, sweet dark lord flavors that were detected in the nose poke through, on the sweeter side of the style for sure. Feel is very warm, full, heavy, viscous, and robust without getting syrupy, wonderful but sweeter feeling, barrel character is great. The best variant yet I have tried"
1724,Scaled Way Up,100,IPA - New England,8%,4.57,"Pours hazy, yellow gold in color with 1/3 inch head. Taste is orange pith, herbal hops, and tangerine. Medium heavy bodied...The body really works for this beer, slightly bitter, with moderate carbonation. Very good beer. Juicy but not overly so. Would get this again."
1725,Pirate Paradise,100,Stout - American Imperial,13%,2.31,I hate this beer. I just paid $10 for 1 12 ounce bottle of it and that would be fine if it was great but I hate it! I usually love dark beer. Even in the summer I'm ordering whatever porter or stout is at the bar. This one is all wrong. It claims to be vanilla coconut. I dont taste either. It just taste like any other dark beer but with an awful hard to swallow bitterness. I'm so annoyed with this beer right now. If it hadn't cost $10 and if it was 13% alcohol (something I didn't realize until after I bought it) I'd have thrown it out already.
1726,Trappist Westvleteren 12 (XII),100,Quadrupel (Quad),10.2%,5.0,I am lucky that I live in a acceptable range to get the Westvleteren 12 bottles. 
1727,Beer Geek Vanilla Shake - Bourbon Barrel-Aged,100,Stout - American Imperial,13%,4.13,"Poured from a 12oz bottle into a taster. Thanks Kevin for sharing this beer.  Dark brown body with a light tan head.  Medicinal vanilla, sweet vanilla extract, cherry, finish is lightly bitter . Low carbonation and a little watery."
1728,Caffè Americano,99,Stout - American Imperial,12%,4.0,"Poured into a 16 oz Snulip glass not sure when it was bottled and don’t care. Pours midnight black with a 2 plus finger head that falls at record speed and leaves no lace. 4 Smell is roasty coffee, dark chocolate, vanilla, toffee, and roasted hazelnut. 4 Taste follows alcohol upfront, cocoa nibs, Expresso beans, vanilla, toffee, and some hazelnut in the bold finish. 4 Mouthfeel is a little bigger than average, moderate carbonation, a touch dry, and drinks easy enough, but the alcohol is around. 4 Overall this is a very nice stout, big and bold, and hits on all the usual expectations, with a little extra booze in the long lingering finish. Thanks Jzeilinger for this roast bold treat."
1729,Hellaboozie (Bourbon Barrel Aged Dark Lord Imperial Stout),100,Stout - Russian Imperial,15%,4.84,"BADL '16 2016 bottle. Chalice glass. Had at a 4 person-4 bottle share: Barrel Aged Dark Lord '16, French Vanilla Militia '17, Marshmallow Handjee '17 and Barrel Aged Abraxas '17 (in that order). Pours pitch black and extremely viscous with no foam head. It was so viscous, I thought it was going to stain the glass! Very pleasant bourbon sweetness aroma. Not boozy! It was like BCBS on steroids. Taste had a good amount of barrel presence, nutty, oaky, chocolate and sweetness. Really thick and sticky. Basically after the first sip, my lips started sticking.  This finished as a consensus 2nd out of the 4 (only behind Marshmallow Handjee '17). It exceeded everyone's expectations. All vintages had:"
1730,Society & Solitude #4,100,IPA - New England,8%,4.64,"The beer pours a hazy yellow with a big fluffy white head. It has low carbonation. The beer smells of pineapple, melon, kumquat, and tangerine. It tastes of pineapple, lemon, tangerine, and melon. The feel is light, and smooth. A nice ipa from Hill Farmstead."
1731,Double Stack,100,Stout - American Imperial,11%,4.67,Canned: 09/06/2019
1732,Hold On To Sunshine,99,Stout - Sweet / Milk,7.6%,4.13,"Canned 12/28/18, “Love is all you need stamped on the bottom of the can Taking a break from the hoppy Tree House beers, we have the second highest rated milk stout. I should note that this is not from the mixed pack I got last week, but it was chilling in the back of my friend’s fridge and she said I could have it lol. Not sure how it held up over the course of a year and a half but we’ll see Pours a very dark brown with 2 fingers of espresso colored head that fades to a cap quickly and leaves nice lacing Huge aromas of dark roast coffee, dates, chocolate malts, and lightly roasted peanuts. A nice combination of smells here The beginning of the sip is surprisingly light with mild coffee and char. The finish brings more roasty creamy peanut butter and dark fruits. Not as good as the aroma suggested but still quite sweet A medium to full body with almost no carbonation, this drinks smooth and finishes sticky. No alcohol heat from the 7.6% So this was good, but it could be better. To be fair, this is a milk stout approaching 2 years of age, so I’ll take what I can get"
1733,Congress Street IPA,100,IPA - New England,7.2%,4.62,"Two finger head with retention on a beautifully light-hearted hazy hue. Nose and taste is a little tropical but mostly pineapple and pine with some great and subtle herbal qualities. Shared with a friend then immediately went to work for a Trillium trade! I've tried to do it again with no bites, I won't give up - this place lives up to the hype!"
1734,JJJuliusss!,100,IPA - New England,6.8%,4.68,"This one pours a very hazy golden yellow color, with a small head, and lots of lacing. This smells like sweet orange, dank hops, pine, mango, grapefruit, and pineapple. This really is as good as it gets for NE-style IPA. It's so saturated with delicious hop character, with no burn, and a pleasant light bitterness on the back end.  This is creamy, rich, and super drinkable. There's so much flavor, but it drinks light and breezy due to the lower ABV. This is truly tremendous. With the glut of NE-style IPAs out there, it's easy to get burnt out and tired of this style. However, every so often, a truly phenomenal version comes along and reminds you of why so many people are obsessed with the style."
1735,KBS,100,Stout - American Imperial,12.3%,4.18,"Shared 355 ml bottle at local tasting. Pitch black colour, no head. Strong and intense aroma of bourbon / oak / vanilla, nearly hiding the roasty, chocolate and coffee notes in the background. Low carbonation. Sweet and rich flavour, notes of bourbon, vanilla, oak, chocolate and coffee."
1736,Beatification,100,Wild Ale,6%,4.49,"At last got my hands on this RR classic! Golden orange with no head save a clear ring. Wonderful aromas of oak, wet earth, lemon, grass, hay, grapefruit zest, barrel must, and grains. Taste is more acidic and vinegar forward, but has all the same flavors from the smell, with an ending backed by sour oak and plenty of funk, but also leaves the palate pretty citrus sweet. Not the most complex, but plenty flavorful. Feel is tart, funky and has a vinegar artful harshness."
1737,Trappist Westvleteren 8 (VIII),99,Dubbel,8%,4.8,Poured from a 330cl bottle into a Triple glass. Pours a lovely brown color with plenty of head. Smells really wonderful. Perhaps like a sweet pumpernickel bread? Very nice carbonation. The taste is unlike anything I’ve really ever had. Distinctive and delicious. Will pick up another six pack when I’m again In de vrede.
1738,Haze,100,IPA - New England,8.2%,4.47,"Canned 4/23/21. Pours an opaque dark yellow, with a short bubbly head that reduces to a film. Lovely irregular lacing. S: Peach, orange, tangerine, pineapple. A bit of bubble gum. T: Follows the nose up front, then smooths out and finishes dry but only slightly bitter. Zero alcohol heat, despite the 8.2% ABV. F: The usual soft and awesome Tree House mouthfeel. Appropriate carbonation. O: A delicious DIPA with no discernable flaws."
1739,Ann,100,Farmhouse Ale - Saison,6.5%,4.96,Batch 1 bottle
1740,Abricot Du Fermier,100,Farmhouse Ale - Saison,8%,4.39,"this is really good, no doubt about it, but not as good as they say it is i dont reckon, and once again a side project beer doesnt quite live up to its hype. their culture has trended super sour lately, and this is another expression of that, just really acidic beer, complex still, still lots of nuance, bretty funk and oak and all, but its the bacterial intensity that takes over this one and makes it a hard large bottle to drink, even split a couple of ways. i really like to let these types of beers warm up a little bit, but not here, its best when its colder, with temperature comes acidic intensity thats hard on the teeth and belly. i like all the apricot of course, about as natural as it gets, super ripe and even soft and fuzzy like the real fruit, very forward and incredibly natural and delicious, the authenticity is through the roof. i kind of wanted to taste more of the wine in the barrel profile, which is tannic and heavily oaky, but not as red wine forward as i might have thought for cabernet. all the wood is nice, subtle vanilla and even white tea somehow, killer with the apricots, peach juice notes, even green apple and white grape wrapped up in here, lots going on, but instead of mellowing into a slow tart bretty funkiness like i wish it did, the sourness cranks and disrupts the delicate beauty, it finishes harsh and big. i mean, in all respects this is great beer, but it just doesnt stand with the best wild beers in the world to my palate, maybe those who prefer a more assertive acidity will disagree, but i think its a little too much, unflattering to the fruit, and at $45 a bottle it just doesnt do it for me..."
1741,Ann,100,Farmhouse Ale - Saison,6.5%,4.49,"Nice subtle honey without being overly sweet, and very smooth to drink. Of course its delicious but it wasn't quite the world breaker I was expecting. Definitely don't pass on it, but there are IMO much better beers to trade half your cellar away for."
1742,Crusher,99,IPA - New England,8%,4.53,"16 oz can poured into a tulip pint glass. Bitter, piney, citrusy, caramel, slightly grassy. Bursting with hop aroma and flavor. Incredibly well-balanced and drinkable despite the 8% abv. I think I prefer this to Heady and Focal."
1743,Heady Topper,100,IPA - New England,8%,4.89,"Genuinely one of the best beers in the world. I have no idea how they managed to say the beer has ""waves and waves of hop flavor"" and then actually accomplish that. There is without a doubt sorcery involved here but I'll take it. It is worth selling your soul for on at least six days of the week."
1744,Society & Solitude #6,100,IPA - New England,8.1%,4.3,"So, the beer pours a rich looking, apricot amber color with pretty decent head retention and light lacing. On the nose, there's a huge aroma of mango, papaya, apricot and pineapple. The mosaic hop presence is pretty pronounced in this bad boy. The flavor profile replicates the nose pretty closely, but the tropical fruit flavor wasn't as intense as I was expecting. Mouthfeel was also a bit less full than I was expecting, though I appreciate the fairly light, dry and moderately bitter finish in this beer. The finish is very clean in this beer, and the alcohol is very well integrated into the flavor profile. So drinkability is pretty good. This is a very good DIPA for sure, though I don't think it quite matches up with the #7 version I tried last night. However, I think a bit more sweetness and richness on the palate would improve this DIPA immensely.  Still a very good beer from the folks at HF."
1745,Morning Wood,100,Porter - Imperial,12%,4.49,Yes Maple please. This thing is something I would pour over pancakes.
1746,Pliny The Younger,100,IPA - Imperial,10.25%,4.47,"Bottled on 2/3/21; consumed on 3/3/21 Pours a deep, glistening, clear honey-gold body topped with multiple fingers of dense, fluffy, eggshell-white foam; good head retention fades to barely a half-finger of equally thick cap, a moderate, frothy collar, and a firm, chunky veil of lacing caked comprehensively around the walls of the glass. Aroma offers a distinctly balanced array of nuanced contrasts, moving seamlessly from dank mango and ripe gooseberry, to apricot skins and orange marmalade/chutney readily apparent; an unflinching, flaky malt backdrop supports a deft dosing of pungent, waxy dankness moving seamlessly into wet moss, floral pine, and pink grapefruit zest on the back end of the bouquet. Taste opens with pink grapefruit brightening a dense conifer medley as it meshes with candied lime peel for a uniquely sweet potpourri undercurrent; clementine and sharp grassiness over the mid-palate leads into tangerine juice saturation with fading white grape and waxy, dank characteristics through the back end and finish. Mouthfeel presents a nimble, medium body met with a fluffy spritz of moderate carbonation, inviting and dispersing a subtly building resin steadily clinging to the palate; the back end produces a taut, tingly bitterness paired with a drying contrast to a deft, distantly sticky texture as a pure, crisp peak marks the finish with barely a hint of booziness. A slight yet thoughtful amplification of Pliny the Elder, this is dangerously drinkable and every bit as supremely crafted as its DIPA counterpart; the sweetness of a TIPA is lulled with distant conifer for the most palatable charge of hop resin, equal yet uniquely defined parts bitter, sweet, and malty; the comprehensive hoppy sipper."
1747,Barrel-Aged Silhouette,99,Stout - Russian Imperial,11%,4.59,"On tap at Republic. Poured an opaque, jet-black color with a small, brown head of foam. It smelled of bourbon, oak, vanilla, coffee, dark chocolate and toffee. Rich bourbon taste with dark chocolate, vanilla, toffee and a roasted malt."
1748,Sip Of Sunshine,100,IPA - Imperial,8%,4.75,"One of the best of the best! Top-notch Double IPA that drinks like a much lighter beer, and pairs with just about everything. A must-try for IPA lovers."
1749,King Sue,100,IPA - New England,7.8%,4.74,16 oz can poured in a pint glass - pours hazy golden with a foamy head. Wonderful citrus and floral aroma though not as strong on the nose as I would have expected. Smooth mouth feel with a lingering hoppiness and dry finish. Fantastic beer! So glad it is finally available in the South East.
1750,All That Is And All That Ever Will Be,99,Stout - Sweet / Milk,6.5%,4.0,"Ok, to start off, this is sweet. It does smell like cocoa powder, almost like opening a packet of swiss miss. Flavor is like lactose, dark chocolate, and hershey's syrup. Overall a bit too sweet for me but an interesting beer."
